time,mag,place
2023-03-08T23:25:36.590Z,0.96,"102 km W of Adak, Alaska"
2023-03-08T23:24:22.790Z,1.08,"1km SSE of Portola Valley, CA"
2023-03-08T23:22:38.310Z,0.6,"6km WNW of Cobb, CA"
2023-03-08T23:18:58.380Z,0.77,"102 km W of Adak, Alaska"
2023-03-08T23:16:41.220Z,1,"102 km W of Adak, Alaska"
2023-03-08T23:12:43.340Z,1.16,"102 km W of Adak, Alaska"
2023-03-08T23:12:08.360Z,1.47,"9km WSW of Pine Mountain Club, CA"
2023-03-08T23:12:05.890Z,0.54,"13km NW of The Geysers, CA"
2023-03-08T23:06:48.900Z,1.47,"102 km W of Adak, Alaska"
2023-03-08T23:01:52.210Z,1.7,"Andreanof Islands, Aleutian Islands, Alaska"
2023-03-08T23:01:48.630Z,3.64,"3 km SSW of Pāhala, Hawaii"
2023-03-08T23:01:26.201Z,1.5,"79 km ESE of Denali Park, Alaska"
2023-03-08T23:00:44.910Z,1.11,"102 km W of Adak, Alaska"
2023-03-08T23:00:24.208Z,1.4,"46 km SSE of Manley Hot Springs, Alaska"
2023-03-08T22:47:38.790Z,0.91,"102 km W of Adak, Alaska"
2023-03-08T22:42:47.580Z,2.33,"4 km SSW of Adjuntas, Puerto Rico"
2023-03-08T22:40:36.240Z,0.51,"Andreanof Islands, Aleutian Islands, Alaska"
2023-03-08T22:39:41.422Z,1.5,"16 km NW of Two Rivers, Alaska"
2023-03-08T22:38:37.840Z,1.12,"Andreanof Islands, Aleutian Islands, Alaska"
2023-03-08T22:35:57.860Z,2.12,"95 km W of Adak, Alaska"
2023-03-08T22:31:13.590Z,1.16,"2km E of The Geysers, CA"
2023-03-08T22:24:31.450Z,1.21,"99 km W of Adak, Alaska"
2023-03-08T22:16:35.480Z,1.33,"103 km W of Adak, Alaska"
2023-03-08T22:16:09.320Z,1.51,"98 km W of Adak, Alaska"
2023-03-08T22:15:02.350Z,1.33,"102 km W of Adak, Alaska"
2023-03-08T22:12:01.360Z,1.05,"Andreanof Islands, Aleutian Islands, Alaska"
2023-03-08T22:11:36.732Z,1.3,"54 km N of Petersville, Alaska"
2023-03-08T22:05:36.490Z,1.94,"103 km W of Adak, Alaska"
2023-03-08T22:05:28.840Z,1.62,"6km WNW of Cobb, CA"
2023-03-08T22:04:12.880Z,1.14,"Andreanof Islands, Aleutian Islands, Alaska"
2023-03-08T21:59:19.620Z,1.69,"99 km W of Adak, Alaska"
2023-03-08T21:56:44.063Z,4.3,"194 km SE of Levuka, Fiji"
2023-03-08T21:55:18.310Z,1.75,"135 km WSW of Adak, Alaska"
2023-03-08T21:52:00.688Z,2.7,"103 km W of Adak, Alaska"
2023-03-08T21:47:31.090Z,1.24,"93 km W of Adak, Alaska"
2023-03-08T21:39:31.280Z,3.36,"120 km NNE of Vieques, Puerto Rico"
2023-03-08T21:37:02.730Z,3.42,"145 km NNE of Vieques, Puerto Rico"
2023-03-08T21:34:20.873Z,1.6,"62 km ESE of Denali National Park, Alaska"
2023-03-08T21:30:56.420Z,1.56,"14km E of Ocotillo Wells, CA"
2023-03-08T21:30:06.840Z,0.43,"Andreanof Islands, Aleutian Islands, Alaska"
2023-03-08T21:28:50.440Z,1.03,"14km E of Ocotillo Wells, CA"
2023-03-08T21:27:09.411Z,1.4,"15 km WSW of Anchor Point, Alaska"
2023-03-08T21:19:10.300Z,1,"101 km W of Adak, Alaska"
2023-03-08T21:11:38.230Z,1.33,"91 km W of Adak, Alaska"
2023-03-08T21:06:43.960Z,0.39,"100 km W of Adak, Alaska"
2023-03-08T21:01:00.220Z,1.92,"3km NNE of Cerritos, CA"
2023-03-08T21:00:56.810Z,0.35,"9km NW of The Geysers, CA"
2023-03-08T20:57:09.130Z,1.12,"4km NNE of Rancho San Diego, CA"
2023-03-08T20:57:06.690Z,0.58,"100 km W of Adak, Alaska"
2023-03-08T20:55:39.740Z,1.47,"91 km W of Adak, Alaska"
2023-03-08T20:53:41.170Z,1.48,"99 km W of Adak, Alaska"
2023-03-08T20:52:42.380Z,1.53,"29km WNW of Ludlow, CA"
2023-03-08T20:47:37.020Z,1.3,"100 km W of Adak, Alaska"
2023-03-08T20:47:30.798Z,2,"76 km SSW of Nanwalek, Alaska"
2023-03-08T20:45:52.191Z,1.8,"66 km SE of King Cove, Alaska"
2023-03-08T20:45:11.510Z,0.87,"12km SE of Gilroy, CA"
2023-03-08T20:42:14.950Z,1.05,"103 km W of Adak, Alaska"
2023-03-08T20:31:07.980Z,0.88,"99 km W of Adak, Alaska"
2023-03-08T20:30:59.200Z,1.43,"6km ESE of Bostonia, CA"
2023-03-08T20:23:31.860Z,1.05,"102 km W of Adak, Alaska"
2023-03-08T20:18:22.490Z,1.5,"101 km W of Adak, Alaska"
2023-03-08T20:15:15.560Z,0.53,"102 km W of Adak, Alaska"
2023-03-08T20:10:03.480Z,0.51,"Andreanof Islands, Aleutian Islands, Alaska"
2023-03-08T20:07:41.683Z,1.9,"23 km ESE of Skwentna, Alaska"
2023-03-08T20:06:59.230Z,0.48,"98 km W of Adak, Alaska"
2023-03-08T20:04:22.710Z,1.37,"98 km W of Adak, Alaska"
2023-03-08T20:02:49.610Z,0.73,"3km S of Cobb, CA"
2023-03-08T19:54:23.950Z,1.85,"100 km W of Adak, Alaska"
2023-03-08T19:53:44.260Z,1.75,"100 km W of Adak, Alaska"
2023-03-08T19:48:30.580Z,1.11,"100 km W of Adak, Alaska"
2023-03-08T19:43:07.130Z,1.54,"102 km W of Adak, Alaska"
2023-03-08T19:40:44.390Z,-0.3,"85 km NW of Karluk, Alaska"
2023-03-08T19:39:09.580Z,1.31,"8km WNW of Cobb, CA"
2023-03-08T19:36:18.760Z,1.58,"104 km W of Adak, Alaska"
2023-03-08T19:34:14.720Z,1.91,"6 km NNW of Circleville, Utah"
2023-03-08T19:33:53.420Z,0.17,Alaska Peninsula
2023-03-08T19:19:23.070Z,0.86,"2km NNW of The Geysers, CA"
2023-03-08T19:14:49.230Z,1.08,"16km ESE of Anza, CA"
2023-03-08T19:09:36.854Z,0.1,Alaska Peninsula
2023-03-08T19:05:59.917Z,0.9,northern Alaska
2023-03-08T18:58:34.710Z,1.21,"11km WNW of Searles Valley, CA"
2023-03-08T18:49:17.440Z,0.71,"8km W of Cobb, CA"
2023-03-08T18:45:35.985Z,1.1,"28 km WSW of Hawthorne, Nevada"
2023-03-08T18:32:20.356Z,4.5,"70 km SSW of Yonakuni, Japan"
2023-03-08T18:32:02.310Z,0.85,"12km SSW of Toms Place, CA"
2023-03-08T18:30:45.597Z,4.2,"25 km NNW of Malfa, Italy"
2023-03-08T18:13:36.500Z,1.32,"10km SSW of Joshua Tree, CA"
2023-03-08T18:11:05.070Z,2.38000011,"5 km SSE of Pāhala, Hawaii"
2023-03-08T18:05:30.430Z,1.14,"34km NNW of Searles Valley, CA"
2023-03-08T17:55:47.377Z,0.8,"43 km SSE of Cantwell, Alaska"
2023-03-08T17:51:13.260Z,0.48,"3km NNW of The Geysers, CA"
2023-03-08T17:50:20.340Z,0.44,"2km ESE of San Jacinto, CA"
2023-03-08T17:47:31.525Z,1.5,"24 km N of Sutton-Alpine, Alaska"
2023-03-08T17:45:31.785Z,2.5,"34 km WNW of Akhiok, Alaska"
2023-03-08T17:43:45.920Z,0.95,"7km NW of The Geysers, CA"
2023-03-08T17:42:40.353Z,1.7,"38 km WNW of Tyonek, Alaska"
2023-03-08T17:33:38.160Z,1.94,"14km SE of Lake Pillsbury, CA"
2023-03-08T17:31:48.580Z,1.66,"14km SE of Lake Pillsbury, CA"
2023-03-08T17:24:25.922Z,3.9,"10 km ESE of Knik-Fairview, Alaska"
2023-03-08T17:05:41.000Z,1.31,"5 km S of Owasso, Oklahoma"
2023-03-08T17:04:43.428Z,4.4,"34 km SW of Malango, Solomon Islands"
2023-03-08T17:02:33.418Z,2.7,"31 km SE of Mina, Nevada"
2023-03-08T16:54:42.200Z,1.5,"43 km W of Petersville, Alaska"
2023-03-08T16:53:29.485Z,1.1,"59 km WNW of Ninilchik, Alaska"
2023-03-08T16:41:21.430Z,2.01999998,"10 km ENE of Pāhala, Hawaii"
2023-03-08T16:35:08.919Z,3.4,"139 km S of Unalaska, Alaska"
2023-03-08T16:26:10.931Z,1.2,"36 km SSW of Glacier View, Alaska"
2023-03-08T16:21:48.835Z,1,"33 km SSE of Chickaloon, Alaska"
2023-03-08T16:10:50.289Z,5.2,"182 km SSE of Vilyuchinsk, Russia"
